"subject" "activity" "features" "mean" "sd"
1 "WALKING" "tBodyAcc()-X" 0.247200193642105 -0.826329486
1 "WALKING" "tBodyAcc()-Y" -0.0233182518463158 -0.697545387063158
1 "WALKING" "tBodyAcc()-Z" -0.0930450283894737 -0.77600016552
1 "WALKING" "tGravityAcc()-X" 0.550575239547368 -0.943757340421053
1 "WALKING" "tGravityAcc()-Y" 0.111004015705263 -0.923422339873684
1 "WALKING" "tGravityAcc()-Z" 0.297227207541053 -0.931266859368421
1 "WALKING" "tBodyAccJerk()-X" 0.0729633285789474 -0.823703602833684
1 "WALKING" "tBodyAccJerk()-Y" 0.00998333720673684 -0.776332197438947
1 "WALKING" "tBodyAccJerk()-Z" -0.0209055474101895 -0.889909072947368
1 "WALKING" "tBodyGyro()-X" -0.0260585704284211 -0.844831509378947
1 "WALKING" "tBodyGyro()-Y" -0.0813959911936842 -0.79247789888421
1 "WALKING" "tBodyGyro()-Z" 0.0981720203031579 -0.825883936736842
1 "WALKING" "tBodyGyroJerk()-X" -0.0944218690842105 -0.827959209052632
1 "WALKING" "tBodyGyroJerk()-Y" -0.0492472368894737 -0.867853557789474
1 "WALKING" "tBodyGyroJerk()-Z" -0.0550479146736842 -0.869067505473684
1 "WALKING" "tBodyAccMag()" -0.758201627515789 -0.755206764021053
1 "WALKING" "tGravityAccMag()" -0.758201627515789 -0.755206764021053
1 "WALKING" "tBodyAccJerkMag()" -0.824003557242105 -0.811784151347368
1 "WALKING" "tBodyGyroMag()" -0.772722088768421 -0.764149351073684
1 "WALKING" "tBodyGyroJerkMag()" -0.862438619578947 -0.859038921578947
1 "WALKING" "fBodyAcc()-X" -0.824411287052632 -0.827641894947368
1 "WALKING" "fBodyAcc()-Y" -0.728297660867368 -0.702221132089684
1 "WALKING" "fBodyAcc()-Z" -0.814111385473684 -0.773857080452632
1 "WALKING" "fBodyAccJerk()-X" -0.835778056947368 -0.827031971378947
1 "WALKING" "fBodyAccJerk()-Y" -0.793544573242105 -0.773051928766316
1 "WALKING" "fBodyAccJerk()-Z" -0.878227060421053 -0.900210314105263
1 "WALKING" "fBodyGyro()-X" -0.811806736108421 -0.855946284210526
1 "WALKING" "fBodyGyro()-Y" -0.812857160673684 -0.782893798672632
1 "WALKING" "fBodyGyro()-Z" -0.815175428736842 -0.846114284315789
1 "WALKING" "fBodyAccMag()" -0.772121071326316 -0.788221072378947
1 "WALKING" "fBodyBodyAccJerkMag()" -0.808080967168421 -0.817523730810526
1 "WALKING" "fBodyBodyGyroMag()" -0.794893736796842 -0.78630673231579
1 "WALKING" "fBodyBodyGyroJerkMag()" -0.861863976736842 -0.865712438421053
1 "WALKING_UPSTAIRS" "tBodyAcc()-X1" 0.289816571132075 -0.137411730132075
1 "WALKING_UPSTAIRS" "tBodyAcc()-Y1" -0.0154041311398113 0.0519735234150943
1 "WALKING_UPSTAIRS" "tBodyAcc()-Z1" -0.112982880915094 -0.228768628811321
1 "WALKING_UPSTAIRS" "tGravityAcc()-X1" 0.943286690377358 -0.966886588679245
1 "WALKING_UPSTAIRS" "tGravityAcc()-Y1" -0.251147919433962 -0.962780499056604
1 "WALKING_UPSTAIRS" "tGravityAcc()-Z1" -0.0265748738320755 -0.929256970188679
1 "WALKING_UPSTAIRS" "tBodyAccJerk()-X1" 0.0634001956283019 -0.0808877493830189
1 "WALKING_UPSTAIRS" "tBodyAccJerk()-Y1" 0.0330178110924528 0.00114664831509434
1 "WALKING_UPSTAIRS" "tBodyAccJerk()-Z1" 0.0234102590339623 -0.454075519132075
1 "WALKING_UPSTAIRS" "tBodyGyro()-X1" -0.0954187641513208 -0.45435705045283
1 "WALKING_UPSTAIRS" "tBodyGyro()-Y1" -0.0198626314924528 -0.0591693578990566
1 "WALKING_UPSTAIRS" "tBodyGyro()-Z1" 0.0882256324896226 -0.235770324396226
1 "WALKING_UPSTAIRS" "tBodyGyroJerk()-X1" -0.0899650045849057 -0.330199590943396
1 "WALKING_UPSTAIRS" "tBodyGyroJerk()-Y1" -0.0289926444150943 -0.28510115809434
1 "WALKING_UPSTAIRS" "tBodyGyroJerk()-Z1" -0.0371951794490566 -0.347015072488679
1 "WALKING_UPSTAIRS" "tBodyAccMag()1" -0.0534514484320755 -0.118395606396226
1 "WALKING_UPSTAIRS" "tGravityAccMag()1" -0.0534514484320755 -0.118395606396226
1 "WALKING_UPSTAIRS" "tBodyAccJerkMag()1" -0.120596913283019 -0.078907569245283
1 "WALKING_UPSTAIRS" "tBodyGyroMag()1" -0.0991131141132075 -0.180099765566038
1 "WALKING_UPSTAIRS" "tBodyGyroJerkMag()1" -0.306210435471698 -0.319021553622642
1 "WALKING_UPSTAIRS" "fBodyAcc()-X1" -0.101896624998113 -0.153937566211321
1 "WALKING_UPSTAIRS" "fBodyAcc()-Y1" 0.0600482452558491 -0.0201744801492453
1 "WALKING_UPSTAIRS" "fBodyAcc()-Z1" -0.274118734528302 -0.267164676226415
1 "WALKING_UPSTAIRS" "fBodyAccJerk()-X1" -0.11001614237566 -0.133702665549057
1 "WALKING_UPSTAIRS" "fBodyAccJerk()-Y1" -0.0665085153102075 0.00728786705471698
1 "WALKING_UPSTAIRS" "fBodyAccJerk()-Z1" -0.404914066603774 -0.502012588867925
1 "WALKING_UPSTAIRS" "fBodyGyro()-X1" -0.32564964069434 -0.49781277545283
1 "WALKING_UPSTAIRS" "fBodyGyro()-Y1" -0.057524590454717 -0.0705500768226415
1 "WALKING_UPSTAIRS" "fBodyGyro()-Z1" -0.152130057239623 -0.335975839056604
1 "WALKING_UPSTAIRS" "fBodyAccMag()1" -0.0319454586018868 -0.309512739283019
1 "WALKING_UPSTAIRS" "fBodyBodyAccJerkMag()1" -0.0500094962867925 -0.123633164566038
1 "WALKING_UPSTAIRS" "fBodyBodyGyroMag()1" -0.177453982443396 -0.327915689735849
1 "WALKING_UPSTAIRS" "fBodyBodyGyroJerkMag()1" -0.300724816824528 -0.393415155509434
1 "WALKING_DOWNSTAIRS" "tBodyAcc()-X2" 0.265945929387755 -0.628085330938775
1 "WALKING_DOWNSTAIRS" "tBodyAcc()-Y2" -0.0200443599693878 -0.4478091645
1 "WALKING_DOWNSTAIRS" "tBodyAcc()-Z2" -0.10181624622449 -0.445515452861225
1 "WALKING_DOWNSTAIRS" "tGravityAcc()-X2" 0.91551919 -0.970855505714286
1 "WALKING_DOWNSTAIRS" "tGravityAcc()-Y2" -0.336688604693878 -0.963441680408163
1 "WALKING_DOWNSTAIRS" "tGravityAcc()-Z2" -0.034600784944898 -0.932526854285714
1 "WALKING_DOWNSTAIRS" "tBodyAccJerk()-X2" 0.115590209928571 -0.682646268428571
1 "WALKING_DOWNSTAIRS" "tBodyAccJerk()-Y2" 0.00926857554897959 -0.64584513755102
1 "WALKING_DOWNSTAIRS" "tBodyAccJerk()-Z2" -0.0566502758048571 -0.821191588571429
1 "WALKING_DOWNSTAIRS" "tBodyGyro()-X2" 0.0280463639104082 -0.739311616122449
1 "WALKING_DOWNSTAIRS" "tBodyGyro()-Y2" -0.130109919687755 -0.450842861620408
1 "WALKING_DOWNSTAIRS" "tBodyGyro()-Z2" 0.0717316807367347 -0.703067162040816
1 "WALKING_DOWNSTAIRS" "tBodyGyroJerk()-X2" -0.101232031632653 -0.785782423265306
1 "WALKING_DOWNSTAIRS" "tBodyGyroJerk()-Y2" -0.0413770841408163 -0.769064328571429
1 "WALKING_DOWNSTAIRS" "tBodyGyroJerk()-Z2" -0.0440305429938775 -0.767693533469388
1 "WALKING_DOWNSTAIRS" "tBodyAccMag()2" -0.503416766 -0.609314348653061
1 "WALKING_DOWNSTAIRS" "tGravityAccMag()2" -0.503416766 -0.609314348653061
1 "WALKING_DOWNSTAIRS" "tBodyAccJerkMag()2" -0.69051086244898 -0.703479906122449
1 "WALKING_DOWNSTAIRS" "tBodyGyroMag()2" -0.507114233334694 -0.527548078016327
1 "WALKING_DOWNSTAIRS" "tBodyGyroJerkMag()2" -0.767607753061225 -0.793878426530612
1 "WALKING_DOWNSTAIRS" "fBodyAcc()-X2" -0.652617934612245 -0.619821988387755
1 "WALKING_DOWNSTAIRS" "fBodyAcc()-Y2" -0.537663420332653 -0.441068545118367
1 "WALKING_DOWNSTAIRS" "fBodyAcc()-Z2" -0.65991576877551 -0.393363507861224
1 "WALKING_DOWNSTAIRS" "fBodyAccJerk()-X2" -0.698383773591837 -0.694741783469388
1 "WALKING_DOWNSTAIRS" "fBodyAccJerk()-Y2" -0.664259693673469 -0.649646562040816
1 "WALKING_DOWNSTAIRS" "fBodyAccJerk()-Z2" -0.805389800612245 -0.835548579183673
1 "WALKING_DOWNSTAIRS" "fBodyGyro()-X2" -0.703943395102041 -0.752863330408163
1 "WALKING_DOWNSTAIRS" "fBodyGyro()-Y2" -0.601799673 -0.381666489489796
1 "WALKING_DOWNSTAIRS" "fBodyGyro()-Z2" -0.672386315102041 -0.741187650408163
1 "WALKING_DOWNSTAIRS" "fBodyAccMag()2" -0.621398632897959 -0.664203364489796
1 "WALKING_DOWNSTAIRS" "fBodyBodyAccJerkMag()2" -0.68036518755102 -0.73728323244898
1 "WALKING_DOWNSTAIRS" "fBodyBodyGyroMag()2" -0.620189840816327 -0.550431137714286
1 "WALKING_DOWNSTAIRS" "fBodyBodyGyroJerkMag()2" -0.786592663673469 -0.819038982040816
1 "SITTING" "tBodyAcc()-X3" 0.26806328012766 -0.97845953787234
1 "SITTING" "tBodyAcc()-Y3" -0.0124872706297872 -0.959303769361702
1 "SITTING" "tBodyAcc()-Z3" -0.135385870468085 -0.922623710574468
1 "SITTING" "tGravityAcc()-X3" 0.469370973595745 -0.967809474893617
1 "SITTING" "tGravityAcc()-Y3" 0.404364704191489 -0.972589357234043
1 "SITTING" "tGravityAcc()-Z3" 0.237549210148936 -0.912802578319149
1 "SITTING" "tBodyAccJerk()-X3" 0.0779843315957447 -0.985641286595745
1 "SITTING" "tBodyAccJerk()-Y3" 0.000268803982978724 -0.97796749212766
1 "SITTING" "tBodyAccJerk()-Z3" 0.0186666499893617 -0.981891616808511
1 "SITTING" "tBodyGyro()-X3" -0.0375449433723404 -0.955426752765957
1 "SITTING" "tBodyGyro()-Y3" -0.0703151240851064 -0.981320434893617
1 "SITTING" "tBodyGyro()-Z3" 0.106892434659574 -0.950537521914894
1 "SITTING" "tBodyGyroJerk()-X3" -0.101039878225532 -0.969957484893617
1 "SITTING" "tBodyGyroJerk()-Y3" -0.041604151893617 -0.988201187234042
1 "SITTING" "tBodyGyroJerk()-Z3" -0.0660046310808511 -0.981433156595745
1 "SITTING" "tBodyAccMag()3" -0.944560488340425 -0.928659711510638
1 "SITTING" "tGravityAccMag()3" -0.944560488340425 -0.928659711510638
1 "SITTING" "tBodyAccJerkMag()3" -0.984140985319149 -0.979917529148936
1 "SITTING" "tBodyGyroMag()3" -0.934105255744681 -0.926376644212766
